tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
NCS000ETT16000032,2017-02-03,"REQUEST FOR PROPOSAL (RFP) FOR MARKETING SERVICES TO MAKE SOCIAL SERVICE A CAREER OF CHOICE FOR CURRENT AND FUTURE GENERATIONS (SMCPD, Valiant)",National Council of Social Service,4400000,Awarded to Suppliers,TRACK WORLDWIDE PTE. LTD.
NCS000ETT16000033,2016-10-21,"INVITATION TO TENDER FOR THE PROVISION OF ADVERTORIAL SERVICES IN THE STRAITS TIMES FOR THE PUBLICITY CAMPAIGN OF POST CARE & SHARE MOVEMENT (Comchest, Wei Xi)",National Council of Social Service,140844.24,Awarded to Suppliers,SINGAPORE PRESS HOLDINGS LIMITED
NCS000ETT16000034,2016-12-19,"INVITATION TO TENDER FOR SHARE AS ONE PUBLICITY CAMPAIGN (Comchest, Lynn)",National Council of Social Service,862752.5,Awarded to Suppliers,XOD BOX PTE. LTD.
NCS000ETT16000035,2016-12-29,"INVITATION TO TENDER FOR THE PROVISION OF TRAINING COORDINATION SERVICES FOR FOSTER PARENTS TRAINING PROGRAMMES UNDER SOCIAL SERVICE INSTITUTE (SSI, Sophia)",National Council of Social Service,23000,Awarded to Suppliers,TRILOGY EVENTS PRIVATE LIMITED
NCS000ETT16000036,2016-12-19,"INVITATION TO TENDER FOR PEER SPECIALIST PROGRAMME (SPDG, Dayang)",National Council of Social Service,224750,Awarded to Suppliers,"RESILIENCE, INC"
NCS000ETT17000001,2017-03-07,"INVITATION TO TENDER FOR STUDY ON PUBLIC ATTITUDES TOWARDS MENTAL HEALTH (ART, Benjamin Tay)",National Council of Social Service,150250,Awarded to Suppliers,FORBES RESEARCH PTE LTD
NCS000ETT17000002,2017-03-20,"INVITATION TO TENDER FOR PROPOSED ADDITIONS AND ALTERATIONS TO EXISTING AIR-CONDITIONING & MECHANICAL SYSTEM OF EXISTING OFFICE BLOCKS ON LOT 4062 PT SL(HDB), 200-18 PT SL(HDB) AND 200-8 PT SL MK 4 AT 170 GHIM MOH ROAD SINGAPORE 279621",National Council of Social Service,907500,Awarded to Suppliers,DLM PTE. LTD.
NCS000ETT17000004,2017-05-30,"INVITATION TO TENDER FOR RESEARCH FIELDWORK ON QUALITY OF LIFE STUDY OF CHILDREN, YOUTHS AND CAREGIVERS (AMG)",National Council of Social Service,694205,Awarded to Suppliers,BLACKBOX RESEARCH PTE LTD
NCS000ETT17000005,2017-03-27,"INVITATION TO TENDER FOR STUDY ON DEMAND AND FACTORS TO OVERCOME BARRIERS TO EMPLOYING PERSONS WITH MENTAL HEALTH ISSUES (AMG, Robyn)",National Council of Social Service,107845,Awarded to Suppliers,FROST & SULLIVAN (SINGAPORE) PTE LTD
NCS000ETT17000006,2017-05-18,INVITATION TO TENDER FOR SERVICES FOR THE DIGITISATION OF HARDCOPY FILES AND DOCUMENTS STORED IN NCSS OFFSITE STORAGE FACILITY,National Council of Social Service,180820,Awarded to Suppliers,BIZLINK CENTRE SINGAPORE LTD
NCS000ETT17000007,2017-05-11,"INVITATION TO TENDER FOR THE PRINTING, PACKING AND DELIVERY OF CUSTOMISED ENVELOPES AND SHARITY COLLATERALS (Cheryl Liew)",National Council of Social Service,56949,Awarded to Suppliers,LATITUDE EXPERIENCE PTE. LIMITED
